GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372660.260000,3509420.543468,779147.256135,5250975.026256,0.008572,-0.011698,-0.003599
372660.270000,3509420.543553,779147.256018,5250975.026220,0.008507,-0.011672,-0.003620
372660.280000,3509420.543638,779147.255901,5250975.026184,0.008463,-0.011718,-0.003608
372660.290000,3509420.543722,779147.255784,5250975.026148,0.008480,-0.011699,-0.003571
372660.300000,3509420.543808,779147.255667,5250975.026113,0.008637,-0.011720,-0.003559
372660.310000,3509420.543894,779147.255550,5250975.026077,0.008507,-0.011718,-0.003645
372660.320000,3509420.543979,779147.255432,5250975.026040,0.008465,-0.011752,-0.003654
372660.330000,3509420.544064,779147.255315,5250975.026004,0.008509,-0.011767,-0.003652
372660.340000,3509420.544148,779147.255197,5250975.025967,0.008412,-0.011773,-0.003684
372660.350000,3509420.544233,779147.255079,5250975.025930,0.008467,-0.011869,-0.003655
372660.360000,3509420.544317,779147.254960,5250975.025894,0.008497,-0.011940,-0.003656
372660.370000,3509420.544403,779147.254840,5250975.025857,0.008534,-0.011936,-0.003714
372660.380000,3509420.544488,779147.254721,5250975.025820,0.008622,-0.011896,-0.003694
372660.390000,3509420.544575,779147.254602,5250975.025783,0.008658,-0.011924,-0.003706
372660.400000,3509420.544661,779147.254483,5250975.025745,0.008627,-0.011948,-0.003782
372660.410000,3509420.544747,779147.254363,5250975.025707,0.008641,-0.011932,-0.003803
372660.420000,3509420.544835,779147.254245,5250975.025669,0.008786,-0.011773,-0.003780
372660.430000,3509420.544922,779147.254126,5250975.025632,0.008741,-0.011916,-0.003765
372660.440000,3509420.545009,779147.254006,5250975.025594,0.008707,-0.012148,-0.003719
372660.450000,3509420.545097,779147.253885,5250975.025557,0.008700,-0.012152,-0.003709
372660.460000,3509420.545184,779147.253763,5250975.025520,0.008705,-0.012196,-0.003772
372660.470000,3509420.545271,779147.253640,5250975.025482,0.008731,-0.012321,-0.003731
372660.480000,3509420.545359,779147.253517,5250975.025445,0.008893,-0.012336,-0.003815
372660.490000,3509420.545447,779147.253394,5250975.025406,0.008773,-0.012283,-0.003880
372660.500000,3509420.545535,779147.253271,5250975.025367,0.008743,-0.012371,-0.003912
372660.510000,3509420.545622,779147.253147,5250975.025328,0.008754,-0.012301,-0.003948
372660.520000,3509420.545710,779147.253025,5250975.025288,0.008752,-0.012225,-0.003994
372660.530000,3509420.545798,779147.252902,5250975.025249,0.008876,-0.012296,-0.003901
372660.540000,3509420.545887,779147.252780,5250975.025209,0.008879,-0.012164,-0.003932
372660.550000,3509420.545976,779147.252658,5250975.025170,0.008902,-0.012149,-0.003989
372660.560000,3509420.546065,779147.252537,5250975.025130,0.008995,-0.012140,-0.003983
372660.570000,3509420.546156,779147.252415,5250975.025090,0.009111,-0.012112,-0.004063
372660.580000,3509420.546247,779147.252294,5250975.025049,0.009073,-0.012238,-0.004090
372660.590000,3509420.546338,779147.252171,5250975.025008,0.009157,-0.012378,-0.004073
