GPSTime,X,Y,Z
372913.0,3509441.0520237735,778949.4658171559,5250782.556657805
372914.0,3509441.9517909484,778949.5289733184,5250782.864121546
372915.0,3509442.8794603148,778948.971624805,5250783.954802605
372916.0,3509443.5308049475,778948.154902452,5250785.906556285
372917.0,3509443.4212702923,778947.4776950749,5250786.150936278
372918.0,3509443.220952993,778946.7846759642,5250786.404563986
372919.0,3509443.376697767,778946.272556639,5250787.01314818
372920.0,3509443.4230139437,778945.5169703688,5250787.110653099
372921.0,3509372.912033694,778944.0136483812,5250493.569495615
372922.0,3509402.3085803012,778943.710133159,5250616.986677721
372923.0,3509442.8277003597,778943.6364761302,5250785.460423485
372924.0,3509443.156633821,778943.1186332509,5250787.03630727
372925.0,3509443.46419173,778942.4123644147,5250788.279731551
372926.0,3509443.744348795,778941.5631039613,5250789.771017741
372927.0,3509444.304584631,778940.6608474387,5250791.695704749
372928.0,3509444.9557882426,778939.8955612979,5250794.082278889
372929.0,3509445.229933342,778939.0359504914,5250795.822745124
372930.0,3509445.4971480686,778938.0931685355,5250797.068136337
372931.0,3509445.428534778,778936.8354463648,5250797.725223535
372932.0,3509445.4991556527,778936.118556003,5250798.645331221
372933.0,3509445.584186629,778935.2817486763,5250799.919122399
372934.0,3509445.645312551,778934.425701179,5250800.466650465
372935.0,3509445.5383159984,778933.4495123281,5250801.23476045
372936.0,3509445.8090566657,778932.7054372581,5250801.958976782
372937.0,3509446.216972406,778932.3090079715,5250803.286426258
372938.0,3509446.541608848,778931.5160796731,5250804.018411541
372939.0,3509446.836071607,778930.9125284713,5250804.686736085
372940.0,3509446.9730023444,778930.4230328458,5250804.930257299
372941.0,3509447.521780243,778929.9294810342,5250806.342161177
372942.0,3509448.0359106283,778929.7036280995,5250807.679944862
372943.0,3509448.7747439137,778928.9011065396,5250808.666539021
372944.0,3509439.4013792416,778928.3719535266,5250767.0576009825
372945.0,3509450.9716392765,778928.4404369977,5250811.253842649
372946.0,3509452.1601550365,778928.9956925723,5250812.9938573325
372947.0,3509452.7771759136,778929.8779064742,5250813.283068482
372948.0,3509453.768395173,778931.2782985934,5250816.009675221
372949.0,3509453.398491057,778932.3121638153,5250816.179415129
372950.0,3509453.5278432397,778933.6225313703,5250815.999559776
372951.0,3509453.8831979595,778934.9432790589,5250817.177377749
372952.0,3509454.575198082,778936.2987572439,5250818.95549561
372953.0,3509454.904865198,778937.697333276,5250819.777577557
372954.0,3509454.7680699727,778938.8208044833,5250820.839675905
372955.0,3509455.458682089,778940.4950463675,5250821.765847585
372956.0,3509455.603600956,778942.1015661412,5250823.025363031
372957.0,3509455.627193313,778943.8172027639,5250821.992426949
372958.0,3509455.9631251334,778945.39137985,5250821.225316506
372959.0,3509456.2207727814,778947.0810528612,5250819.63179261
372960.0,3509297.747565938,778944.6868724995,5250161.1997104855
372961.0,3509298.0826950283,778946.3272543391,5250161.420136744
372962.0,3509298.2469256064,778948.0685985495,5250161.783739677
372963.0,3509298.9338876703,778949.5782654642,5250162.017713657
372964.0,3509298.9958104226,778951.5437351628,5250162.467041438
372965.0,3509456.0830232822,778957.4576323805,5250812.863123289
372966.0,3509456.110459508,778959.0242931278,5250813.9350892
372967.0,3509455.9001308414,778960.3270507712,5250815.009431094
372968.0,3509455.3574926653,778961.7214377252,5250816.317006663
372969.0,3509455.0622769366,778962.8384528568,5250817.4578701705
372970.0,3509397.212204547,778914.7700353215,5250769.6396458
372971.0,3509454.3087623753,778963.9130860599,5250822.575229016
372972.0,3509453.6571439565,778964.6585651302,5250823.921785577
372973.0,3509452.9637987665,778964.8177641173,5250826.34374615
372974.0,3509452.2646610257,778965.217247746,5250828.204130058
